geth_gas,evmone_gas,besu_gas,nethermind_gas,ethereumjs_gas,erigon_gas,revm_gas,geth_gas_stderr,evmone_gas_stderr,besu_gas_stderr,nethermind_gas_stderr,ethereumjs_gas_stderr,erigon_gas_stderr,revm_gas_stderr,opcode,constant_current_gas,alternative_gas,alternative_gas_stderr,alternative_gas_rel_stderr,alternative_gas_rel_diff,gas diff %,gas std err %
2.042429893,0.797790701,2.467383237,1.791004502,1.9038907,2.297045249,1.781678347,0.03593403,0.043104876,0.012920624,0.159827312,0.060118601,0.213086441,0.077332669,ADD,3,1.86874609,0.203175845,0.108723088,0.377084637,-37.71%,10.87%
2.849670995,3.238738591,7.864509874,4.814883225,2.030000968,2.72817363,2.994818149,0.04724359,0.050835645,0.014181146,0.163034474,0.058877055,0.227908355,0.081771891,MUL,5,3.788685062,0.751149881,0.198261367,0.242262988,-24.23%,19.83%
2.062741162,0.782679717,5.761221017,2.005547646,1.923948172,2.1089401,1.851652922,0.031881969,0.045782366,0.011980166,0.165256629,0.079557456,0.22048206,0.073968749,SUB,3,2.356675819,0.593250823,0.251732045,0.214441394,-21.44%,25.17%
2.190272493,5.658245337,2.402537301,2.544385104,1.639488381,2.249890955,6.962919025,0.048113262,0.070503228,0.014496661,0.169490275,0.0630413,0.243043598,0.098406172,DIV,5,3.378248371,0.777715723,0.230212713,0.324350326,-32.44%,23.02%
2.751132047,7.638832107,5.154587701,3.362148973,1.255801151,2.54873725,12.35396635,0.069263302,0.08732316,0.072131638,0.125762732,0.078054199,0.225470677,0.046651191,SDIV,5,5.009315083,1.454346712,0.290328456,0.001863017,0.19%,29.03%
2.713619672,6.417067883,4.50874204,2.310068959,1.977392329,2.510656585,7.212727867,0.053876956,0.052658608,0.073477115,0.186682917,0.071512457,0.245951938,0.093638962,MOD,5,3.950039334,0.805116235,0.203824865,0.209992133,-21.00%,20.38%
2.938757391,7.858040966,4.492249282,3.669563968,1.662582488,2.782043839,8.833070523,0.047342893,0.096194035,0.075802254,0.182097307,0.053484939,0.233721283,0.055928,SMOD,5,4.605186923,1.024741121,0.222518898,0.078962615,-7.90%,22.25%
4.655142597,6.797327796,5.484568204,3.94107488,2.130167016,2.945476338,13.07084475,0.038409804,0.068466626,0.087988447,0.14923499,0.070861417,0.245511393,0.037402511,ADDMOD,8,5.574943083,1.380019578,0.247539671,0.303132115,-30.31%,24.75%
6.996113961,12.46283853,5.751300644,10.8830754,2.126475152,6.756698378,15.47706471,0.033501675,0.05600669,0.104465705,0.239986722,0.062881948,0.216619353,0.063401677,MULMOD,8,8.636223825,1.714160991,0.198485012,0.079527978,7.95%,19.85%
6.690697906,15.39966052,18.33860443,20.88235902,10.1908829,9.365724061,16.16884905,0.034858763,0.0549082,0.058127169,0.269574758,0.10579913,0.232599251,0.062942426,EXP,10,13.86239684,1.96476432,0.141733377,0.386239684,38.62%,14.17%
3.768394596,1.014661471,7.386577876,2.828199964,2.525137218,3.172912455,6.036780351,0.029925945,0.041688687,0.014550282,0.188572314,0.049228138,0.230989051,0.08551019,SIGNEXTEND,5,3.81895199,0.824999737,0.216027784,0.236209602,-23.62%,21.60%
2.066925478,0.728695833,8.103453882,2.67514898,2.104963855,2.094174614,1.902699628,0.030542795,0.037521093,0.014615346,0.423533065,0.129328408,0.222818215,0.070600705,LT,3,2.810866039,0.909676764,0.323628644,0.063044654,-6.30%,32.36%
2.159576112,0.749296997,8.112619263,1.728299855,2.106935534,2.35476163,1.957883147,0.033997737,0.042662383,0.014551907,0.159600462,0.131315687,0.197006776,0.065457515,GT,3,2.738481791,0.917414004,0.335008254,0.087172736,-8.72%,33.50%
2.516790784,0.832671529,1.767929519,2.34493102,1.525484137,2.513085746,3.27740928,0.031364362,0.042788043,0.014490653,0.166909143,0.050615491,0.226375946,0.063708093,SLT,3,2.111186002,0.302222839,0.143153108,0.296271333,-29.63%,14.32%
2.464899399,0.789096473,1.761621731,2.344492404,1.62234815,2.462871185,3.260198579,0.031058161,0.041427173,0.010174447,0.17132921,0.058150955,0.228455684,0.070972267,SGT,3,2.100789703,0.298080334,0.141889659,0.299736766,-29.97%,14.19%
2.006426216,0.667896852,5.594897785,1.609192289,2.158732389,2.126241916,1.661593702,0.035972999,0.048116144,0.010181074,0.119476528,0.127704367,0.206812835,0.075555689,EQ,3,2.260711593,0.588185647,0.260177215,0.246429469,-24.64%,26.02%
1.642488318,0.526918728,3.079554043,1.125110747,1.149875422,1.809629406,1.578467185,0.035157985,0.046051087,0.010276727,0.136837081,0.035964907,0.215840018,0.064112236,ISZERO,3,1.558863407,0.300914613,0.193034625,0.480378864,-48.04%,19.30%
2.041975819,0.504750178,5.722808371,3.521066017,1.660018874,1.896352822,1.444450068,0.030873592,0.04508521,0.009325621,0.151758947,0.074307753,0.217694561,0.077175551,AND,3,2.398774593,0.649767273,0.270874669,0.200408469,-20.04%,27.09%
2.012192468,0.610630984,5.710423921,3.280013062,1.589213919,2.252629714,1.441132813,0.032118063,0.047933044,0.013294688,0.144982302,0.063032517,0.204572974,0.08250689,OR,3,2.413748126,0.630244869,0.261106311,0.195417291,-19.54%,26.11%
2.049358184,0.482070712,5.709764707,3.42081604,1.651658417,2.267931045,1.397462122,0.031050432,0.050742887,0.010458402,0.153454382,0.073912896,0.215263487,0.081070773,XOR,3,2.425580175,0.643205687,0.265176016,0.191473275,-19.15%,26.52%
1.664440112,0.577750521,3.258285616,2.555029732,1.457148576,1.773394427,1.241746252,0.030867738,0.051114544,0.014732778,0.146985644,0.049105801,0.2039656,0.077395751,NOT,3,1.789685034,0.332311333,0.185681462,0.403438322,-40.34%,18.57%
2.342099226,0.923753096,6.284261823,1.952148936,2.291537591,2.388114958,4.773647559,0.027326503,0.046181214,0.012502569,0.168420627,0.062546575,0.206631374,0.114750521,BYTE,3,2.993651884,0.701187226,0.234224704,0.002116039,-0.21%,23.42%
2.938215432,1.602058775,4.106339937,3.527506971,1.907269454,2.474731205,5.224013759,0.028308703,0.054852039,0.050885575,0.182970849,0.059940661,0.23194995,0.163192524,SHL,3,3.111447933,0.482788742,0.155165297,0.037149311,3.71%,15.52%
3.024533441,1.530218817,4.338763794,3.013775403,1.146364327,2.63934256,6.5882643,0.036413732,0.051346575,0.057582184,0.168799579,0.075095944,0.243103019,0.130764397,SHR,3,3.18303752,0.69282887,0.217662803,0.061012507,6.10%,21.77%
3.033195025,2.82528647,4.206264902,3.752015317,1.292384143,2.717742529,8.664475897,0.048897364,0.062100924,0.066240136,0.170172616,0.067564375,0.272812379,0.072478551,SAR,3,3.784480612,0.884068899,0.23360376,0.261493537,26.15%,23.36%
5.085189768,5.059365416,0.703159155,1.666369645,2.570985951,5.495606783,1.561880908,0.018409774,0.061374129,0.041801289,0.116056233,0.024830069,0.110525031,0.071410264,ADDRESS,2,3.163222518,0.754933799,0.23865972,0.581611259,58.16%,23.87%
2.291189227,7.122391483,0.614467835,1.638851853,2.550168002,3.219399921,1.717518725,0.0235273,0.051269464,0.035324451,0.107037717,0.026493839,0.129973536,0.070502179,ORIGIN,2,2.736283864,0.793551874,0.290010801,0.368141932,36.81%,29.00%
2.931838865,5.102074514,0.66418548,1.521041966,2.550159371,2.606572707,1.583618688,0.034524981,0.055450503,0.034252619,0.123157717,0.024500849,0.09128588,0.075969915,CALLER,2,2.422784513,0.536694982,0.2215199,0.211392256,21.14%,22.15%
1.969758517,3.112559706,0.687738187,1.022205249,1.348967307,1.131167225,1.677867767,0.025632622,0.051592298,0.043833035,0.141115884,0.019705837,0.084999306,0.076456493,CALLVALUE,2,1.564323423,0.303574023,0.194060907,0.217838289,-21.78%,19.41%
1.733425188,3.782734031,4.264135762,2.289727956,1.386182751,1.822906436,2.570287515,0.916519435,0.175201244,0.020244086,0.177068923,0.098562145,0.065745716,0.143768669,CALLDATALOAD,3,2.549914234,0.410457867,0.160969283,0.150028589,-15.00%,16.10%
1.601826721,0.951108741,0.755481248,1.250538439,1.306047803,1.497744234,1.369480097,0.02607352,0.059095841,0.026036356,0.13438804,0.027485969,0.08949051,0.07172273,CALLDATASIZE,2,1.24746104,0.113012435,0.09059396,0.37626948,-37.63%,9.06%
5.478203052,5.690450352,3.011824682,10.53299962,11.52115617,6.589812662,4.443170871,0.839348535,0.212451267,0.059098881,0.255152106,0.068745695,0.254937758,0.087079664,CALLDATACOPY,2,6.752516773,1.186593376,0.175726091,2.376258387,237.63%,17.57%
1.560173972,0.973311929,0.770440727,1.235137892,1.389455297,1.404733579,1.441562105,0.017112301,0.059357383,0.015367127,0.104542631,0.025450878,0.078910379,0.071605283,CODESIZE,2,1.253545072,0.107233667,0.085544325,0.373227464,-37.32%,8.55%
5.259227069,5.639635878,3.079250088,10.65244831,9.895088109,4.646472252,5.836144941,0.601632058,0.601072775,0.063363713,0.262127507,0.354921341,0.121033274,0.068934577,CODECOPY,2,6.429752378,1.053254024,0.163809422,2.214876189,221.49%,16.38%
2.021864733,5.045813158,0.642365954,1.163177807,1.19575724,1.3663195,1.728563234,0.017853937,0.059446645,0.035510487,0.103969372,0.025761833,0.077057206,0.072633737,GASPRICE,2,1.880551661,0.552980182,0.294052109,0.05972417,-5.97%,29.41%
1.652409592,0.995653671,0.720769489,1.856607847,1.276280578,1.333990229,1.386846904,0.027144596,0.054756411,0.033521527,0.111950268,0.040124075,0.09305139,0.076307244,RETURNDATASIZE,2,1.31750833,0.143862867,0.109193137,0.341245835,-34.12%,10.92%
6.857318665,4.983005152,3.58065639,11.12581692,11.48635546,6.86883272,0,1.222798455,0.427539534,0.087057749,0.409968306,0.088772939,0.176763776,0,RETURNDATACOPY,3,6.414569329,1.539545301,0.240007586,1.138189776,113.82%,24.00%
2.322998822,7.495922894,0.703765473,1.855097498,4.417858826,3.084521968,1.580184353,0.019430166,0.063678731,0.034601339,0.102242714,0.028623782,0.102699953,0.070700293,COINBASE,2,3.065764262,0.862695354,0.281396507,0.532882131,53.29%,28.14%
1.981842746,2.575994195,0.742240723,1.212402003,1.292005822,1.580228527,1.693829619,0.025421503,0.049230985,0.014392012,0.125750751,0.039707431,0.087078617,0.064730246,TIMESTAMP,2,1.582649091,0.222876203,0.140824776,0.208675455,-20.87%,14.08%
2.027030436,2.483527094,0.733618211,1.252162646,1.303870181,1.663689246,1.698005458,0.022091531,0.048226369,0.041047624,0.145967342,0.037154346,0.087474683,0.075095543,NUMBER,2,1.59455761,0.214683059,0.134634872,0.202721195,-20.27%,13.46%
2.033782956,5.056620326,0.671117169,1.380468174,7.419192763,1.465212534,1.813250813,0.019265276,0.050464779,0.039617967,0.102844193,0.035021374,0.090449483,0.069127904,DIFFICULTY,2,2.834234962,0.92980676,0.328062695,0.417117481,41.71%,32.81%
1.651970165,2.522512568,0.752796843,1.387779813,1.32050071,1.882349426,1.686999976,0.017262274,0.064379239,0.028178135,0.100543376,0.040328643,0.095693635,0.074664654,GASLIMIT,2,1.600701357,0.205977781,0.128679706,0.199649321,-19.96%,12.87%
2.028421953,5.265524274,0.651016624,2.023584643,1.123906508,1.679907466,1.671272283,0.015485353,0.044080309,0.042893184,0.133395986,0.041253188,0.084407059,0.076044345,CHAINID,2,2.06337625,0.565574173,0.274101329,0.031688125,3.17%,27.41%
9.160743478,4.725330394,28.00137084,3.668832487,1.153882792,7.969075777,1.398554865,0.019908874,0.057650333,0.100279422,0.114359092,0.022897727,0.093698239,0.065370731,SELFBALANCE,5,8.011112947,3.523165259,0.439784744,0.602222589,60.22%,43.98%
1.376933128,0.631994192,1.565010955,0.512730969,0.580181457,1.624263017,1.152492569,0.025898319,0.056016679,0.106409066,0.133648365,0.030740983,0.189342374,0.025563685,POP,2,1.063372327,0.182265432,0.171403212,0.468313837,-46.83%,17.14%
4.286087821,2.667846465,1.57281181,5.733839186,4.665727714,3.283367818,5.329892745,0.62077841,0.217092719,0.015088995,0.177890456,0.077092954,0.06014898,0.127870199,MLOAD,3,3.934224794,0.565874907,0.143833903,0.311408265,31.14%,14.38%
13.56759546,1.766192643,2.967557707,4.961778096,11.95350868,15.85182109,2.973509662,0.530777806,0.205076545,0.06055761,0.184973086,0.090843339,0.190570562,0.09121978,MSTORE,3,7.720280478,2.216893851,0.287151983,1.573426826,157.34%,28.72%
3.051528875,0.743893413,1.835505622,5.27027377,4.350768751,4.055495576,2.504644885,0.759677867,0.208779616,0.06334343,0.154422218,0.071051967,0.221462956,0.098432497,MSTORE8,3,3.116015842,0.591460428,0.189813036,0.038671947,3.87%,18.98%
2.43570195,0.458287768,1.030093921,1.853382082,0.979031724,5.424029898,1.997651185,0.10709873,0.121562747,0.025811497,0.151853077,0.026740049,0.186350468,0.033954029,JUMP,8,2.025454075,0.622796201,0.307484731,0.746818241,-74.68%,30.75%
3.106960085,0.824929856,1.137796406,2.761387813,2.464952335,7.903857577,2.406415099,0.197767155,0.0604511,0.030258371,0.282270382,0.079155994,0.314358663,0.124735011,JUMPI,10,2.943757024,0.885483509,0.300800474,0.705624298,-70.56%,30.08%
1.605605789,0.949056418,0.722169771,0.879104968,1.252835241,1.202779833,1.375802395,0.017465338,0.04958654,0.020329494,0.108025369,0.018960582,0.090307893,0.070980581,PC,2,1.141050631,0.11630877,0.101931297,0.429474685,-42.95%,10.19%
1.610639663,0.926316335,0.683585872,1.345593152,1.291361382,1.303959136,1.443903697,0.015967889,0.049181995,0.034159987,0.124724637,0.024066243,0.082074882,0.076146574,MSIZE,2,1.229337034,0.119923327,0.09755122,0.385331483,-38.53%,9.76%
1.614116015,0.966271683,0.773626737,1.20282748,1.182060734,1.284204344,1.378300094,0.016561223,0.051170843,0.026911179,0.106727926,0.021747979,0.074437253,0.069545656,GAS,2,1.200201012,0.103178761,0.0859679,0.399899494,-39.99%,8.60%
1.24601343,0.885997284,0.562778087,0.825383112,0.934110093,0.871139869,0.946159285,0.011178201,0.074648389,0.007794634,0.154286064,0.00534256,0.070765714,0.060759495,JUMPDEST,1,0.895940166,0.07609821,0.08493671,0.104059834,-10.41%,8.49%
1.740016586,0.913205716,0.775954523,1.294502934,6.177017631,2.09941398,1.323272681,0.018975618,0.078738414,0.023198756,0.107501124,0.042245109,0.171603807,0.052741892,PUSH1,3,2.046197721,0.709545568,0.346762955,0.317934093,-31.79%,34.68%
2.475963181,0.934562218,0.726974841,1.902500354,6.484301814,3.779738214,1.342512762,0.024807819,0.128377687,0.025958824,0.107193576,0.04141917,0.200839989,0.072920122,PUSH2,3,2.520936198,0.768438375,0.304822619,0.159687934,-15.97%,30.48%
2.444944554,1.557589839,0.769800079,1.670460999,6.783822511,3.878928939,1.418809636,0.017310515,0.082610052,0.030809166,0.114933822,0.045467975,0.139458677,0.077581368,PUSH3,3,2.646336651,0.784440151,0.296424928,0.117887783,-11.79%,29.64%
2.398160281,1.599263575,0.819653779,1.713820389,7.002459289,4.269154542,1.384973631,0.020757482,0.076682629,0.029537232,0.109208986,0.049293517,0.211572546,0.073249862,PUSH4,3,2.741069355,0.823781488,0.300532887,0.086310215,-8.63%,30.05%
2.453645198,1.317764472,0.753296224,1.700152744,7.237949321,5.165729151,1.420643883,0.016164667,0.104773236,0.02893024,0.11680304,0.036114304,0.219961807,0.074647943,PUSH5,3,2.864168713,0.911324424,0.318181125,0.045277096,-4.53%,31.82%
2.490683969,1.115856103,0.782069275,1.668572553,7.523103899,5.288044534,1.413384947,0.024623608,0.12847517,0.024811817,0.110161233,0.030310404,0.214094501,0.072259889,PUSH6,3,2.897387897,0.959148631,0.331039083,0.034204034,-3.42%,33.10%
2.667616602,1.060430861,0.758713982,1.792888655,7.735904516,6.081427447,1.514971015,0.01947437,0.124032245,0.035641757,0.126604151,0.029653928,0.231100429,0.073343289,PUSH7,3,3.087421868,1.028506635,0.333127988,0.029140623,2.91%,33.31%
2.610061497,1.172539195,0.765193205,1.393283998,7.9248213,6.604590055,1.334668429,0.018957262,0.111237839,0.025498902,0.111465457,0.025250945,0.222566644,0.075783964,PUSH8,3,3.115022526,1.101894635,0.353735688,0.038340842,3.83%,35.37%
2.594881753,1.094953768,0.750023487,1.557098096,8.183658133,6.971786263,1.394925397,0.02161547,0.116993072,0.02129402,0.110441625,0.03591868,0.209095911,0.072326964,PUSH9,3,3.221046699,1.152815527,0.357900905,0.073682233,7.37%,35.79%
